Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Price-binned,Screen-Full_HD,Screen-IPS_panel
Acer,4,2,1,5,14.0,0.7647058823529411,8,256,0.7256235827664399,978.0,Low,0,1
Dell,3,1,1,3,15.598425196850393,0.5294117647058824,4,256,0.997732426303855,634.0,Low,1,0
Dell,3,1,1,7,15.598425196850393,0.11764705882352926,8,256,0.997732426303855,946.0,Low,1,0
Dell,4,2,1,5,13.299212598425196,0.7647058823529411,8,128,0.5532879818594104,1244.0,Low,0,1
HP,4,2,1,7,15.598425196850393,0.6470588235294117,8,256,0.8662131519274375,837.0,Low,1,0
Dell,3,1,1,5,15.598425196850393,0.7647058823529411,8,256,0.997732426303855,1016.0,Low,1,0
HP,3,3,1,5,15.598425196850393,0.7647058823529411,8,256,0.9523809523809524,1117.0,Low,1,0
Acer,3,2,1,5,15.0,0.7647058823529411,4,256,0.997732426303855,866.0,Low,0,1
Dell,3,1,1,5,15.598425196850393,0.23529411764705876,4,256,1.0430839002267573,812.0,Low,1,0
Acer,3,3,1,7,15.0,0.6470588235294117,8,256,0.997732426303855,1068.0,Low,0,1
Dell,3,1,1,7,15.598425196850393,0.6470588235294117,8,256,0.9659863945578231,975.0,Low,1,0
HP,3,2,1,3,15.598425196850393,0.5294117647058824,4,128,0.8662131519274375,558.0,Low,1,0
Asus,3,2,2,3,15.598425196850393,0.5294117647058824,4,256,0.9070294784580498,527.0,Low,1,0
Dell,4,2,1,5,14.0,0.7647058823529411,8,256,0.7709750566893424,1117.0,Low,1,0
Asus,3,2,1,5,14.0,0.7647058823529411,8,256,0.6349206349206349,1195.0,Low,1,0
HP,3,2,1,5,15.598425196850393,0.23529411764705876,8,256,0.8435374149659864,876.0,Low,1,0
Dell,4,1,1,7,13.000000000000002,0.6470588235294117,8,256,0.6349206349206349,1213.0,Low,0,1
Dell,3,1,1,7,15.598425196850393,0.6470588235294117,8,256,0.997732426303855,1105.0,Low,1,0
Dell,4,2,1,5,15.0,0.7647058823529411,8,256,0.8526077097505668,1392.0,Low,0,1
HP,3,2,1,5,14.0,0.7647058823529411,8,256,0.7392290249433106,1092.0,Low,1,0
HP,4,3,1,7,15.0,0.6470588235294117,8,256,0.8299319727891157,888.0,Low,0,1
HP,3,2,1,5,15.598425196850393,0.23529411764705876,8,256,0.8888888888888888,761.0,Low,1,0
Dell,4,2,1,7,13.000000000000002,0.6470588235294117,8,256,0.5487528344671202,2095.0,Medium,0,1
Dell,1,3,1,5,15.598425196850393,0.23529411764705876,8,256,1.201814058956916,1518.0,Low,1,0
Asus,4,2,1,7,14.0,0.11764705882352926,8,256,0.5668934240362812,1333.0,Low,1,0
Dell,3,1,2,3,15.598425196850393,0.5294117647058824,4,256,0.997732426303855,616.0,Low,1,0
Asus,3,3,1,3,15.598425196850393,0.29411764705882354,6,256,0.9070294784580498,733.0,Low,1,0
HP,3,1,1,7,15.598425196850393,0.11764705882352926,8,256,0.8662131519274375,913.0,Low,1,0
HP,4,3,1,7,13.000000000000002,0.11764705882352926,8,256,0.6258503401360543,1421.0,Low,0,1
HP,3,3,1,5,14.0,0.23529411764705876,6,256,0.8445495508646949,837.0,Low,0,1
Asus,4,3,1,7,14.0,0.11764705882352926,8,256,0.5895691609977324,1515.0,Low,0,1
Lenovo,3,2,1,7,14.0,0.11764705882352926,8,256,0.7165532879818595,1880.0,Medium,0,1
Dell,4,2,1,5,13.000000000000002,0.7647058823529411,8,256,0.5487528344671202,2069.0,Medium,0,1
Asus,3,3,1,7,15.598425196850393,0.6470588235294117,8,256,0.7709750566893424,1420.0,Low,1,0
HP,3,2,1,5,17.299212598425196,0.7647058823529411,8,256,1.1337868480725624,1179.0,Low,1,0
Acer,4,2,1,7,14.0,0.6470588235294117,8,256,0.7256235827664399,1123.0,Low,0,1
Acer,3,3,1,3,15.598425196850393,0.11764705882352926,4,256,0.997732426303855,727.0,Low,1,0
HP,3,2,1,7,14.0,0.6470588235294117,8,256,0.7392290249433106,1255.0,Low,1,0
HP,3,2,1,5,13.000000000000002,0.23529411764705876,4,256,0.8445495508646949,888.0,Low,0,1
Lenovo,3,1,1,5,14.0,0.7647058823529411,8,256,0.7936507936507936,1418.0,Low,0,1
Asus,4,2,1,7,14.0,0.6470588235294117,8,256,0.5668934240362812,1396.0,Low,1,0
HP,4,2,1,5,14.0,0.11764705882352926,4,256,0.6712018140589568,1374.0,Low,1,0
HP,3,1,1,5,15.598425196850393,0.7647058823529411,6,256,0.8662131519274375,786.0,Low,1,0
Acer,3,3,1,5,17.0,0.7647058823529411,4,256,1.3605442176870748,1023.0,Low,0,1
Dell,3,1,1,5,15.598425196850393,0.7647058823529411,8,256,0.9659863945578231,925.0,Low,1,0
Lenovo,1,3,1,7,15.0,0.05882352941176476,16,256,1.1337868480725624,1371.0,Low,0,1
Acer,3,3,1,5,17.0,0.7647058823529411,8,256,1.3605442176870748,1085.0,Low,0,1
Huawei,4,2,1,5,13.000000000000002,0.23529411764705876,8,256,0.4761904761904762,1714.0,Medium,0,1
HP,3,3,1,5,17.299212598425196,0.7647058823529411,8,256,1.1337868480725624,1172.0,Low,1,0
Dell,4,2,1,5,13.299212598425196,0.7647058823529411,8,256,0.8445495508646949,1777.0,Medium,1,0
Acer,4,2,1,5,13.000000000000002,1.0,8,256,0.507936507936508,1256.0,Low,0,1
HP,3,3,1,7,17.299212598425196,0.6470588235294117,8,256,1.1337868480725624,1327.0,Low,1,0
Dell,4,2,1,7,13.299212598425196,0.6470588235294117,8,256,0.5442176870748299,1841.0,Medium,1,0
Dell,4,1,1,7,13.000000000000002,0.6470588235294117,8,256,0.6349206349206349,1184.0,Low,0,1
HP,3,3,1,7,14.0,0.6470588235294117,8,256,0.7392290249433106,1310.0,Low,1,0
Dell,4,2,1,5,14.0,0.7647058823529411,8,256,0.7256235827664399,1460.0,Low,1,0
Dell,3,1,2,5,15.598425196850393,0.7647058823529411,8,256,0.997732426303855,860.0,Low,1,0
Toshiba,4,2,1,7,13.299212598425196,0.23529411764705876,8,256,0.5442176870748299,1731.0,Medium,1,0
Acer,3,3,1,7,15.598425196850393,0.11764705882352926,8,256,0.997732426303855,1057.0,Low,1,0
Asus,3,3,1,5,15.598425196850393,0.23529411764705876,8,256,0.9070294784580498,977.0,Low,1,0
Dell,3,2,1,5,14.0,0.23529411764705876,8,256,0.7256235827664399,1091.0,Low,1,0
Dell,3,1,2,7,15.598425196850393,0.11764705882352926,16,256,0.8445495508646949,1142.0,Low,1,0
Acer,1,3,1,5,15.0,0.23529411764705876,8,256,1.1337868480725624,1075.0,Low,0,1
Dell,1,3,1,5,15.598425196850393,0.23529411764705876,8,256,1.1609977324263039,1117.0,Low,1,0
Asus,1,3,1,7,17.299212598425196,0.0,16,256,1.6326530612244898,3810.0,High,1,0
Acer,3,3,1,3,17.0,0.11764705882352926,4,256,1.3605442176870748,892.0,Low,0,1
Dell,4,2,1,5,13.299212598425196,0.7647058823529411,8,256,0.6394557823129251,1206.0,Low,1,0
Lenovo,3,2,1,7,15.598425196850393,0.6470588235294117,8,256,0.929705215419501,1118.0,Low,1,0
Dell,3,1,2,7,15.598425196850393,0.6470588235294117,8,256,0.8445495508646949,934.0,Low,1,0
Lenovo,1,3,1,5,15.0,0.23529411764705876,8,256,1.1337868480725624,1053.0,Low,0,1
Lenovo,3,2,1,5,15.598425196850393,0.23529411764705876,6,256,0.997732426303855,735.0,Low,1,0
Acer,3,3,1,7,15.0,0.6470588235294117,8,256,1.3605442176870748,1208.0,Low,0,1
Lenovo,3,2,1,7,15.0,0.11764705882352926,8,256,0.8843537414965986,1394.0,Low,0,1
Asus,4,3,1,5,15.598425196850393,0.23529411764705876,8,256,0.7709750566893424,1241.0,Low,1,0
Dell,3,3,1,7,15.598425196850393,0.05882352941176476,8,256,0.9070294784580498,2323.0,Medium,1,0
Lenovo,3,2,1,5,15.598425196850393,0.7647058823529411,8,256,0.929705215419501,939.0,Low,1,0
Acer,3,3,2,7,15.598425196850393,0.05882352941176476,8,256,1.1337868480725624,1244.0,Low,1,0
Dell,5,3,1,7,17.299212598425196,0.0,16,256,1.5510204081632653,3665.0,High,1,0
Toshiba,3,3,1,7,15.0,0.23529411764705876,8,256,0.997732426303855,1325.0,Low,0,1
Lenovo,3,2,1,5,13.000000000000002,0.23529411764705876,8,256,0.4988662131519275,1269.0,Low,0,1
HP,3,2,1,5,14.0,0.23529411764705876,8,256,0.8843537414965986,1245.0,Low,1,0
HP,3,2,1,7,14.0,0.11764705882352926,8,256,0.6712018140589568,1641.0,Medium,1,0
Asus,3,2,1,7,14.0,0.11764705882352926,8,256,0.9070294784580498,1390.0,Low,1,0
Asus,4,3,1,7,15.598425196850393,0.11764705882352926,8,256,0.7709750566893424,1334.0,Low,1,0
HP,4,2,1,7,12.5,0.11764705882352926,8,256,0.5714285714285714,1696.0,Medium,1,0
Toshiba,3,2,1,5,15.0,0.23529411764705876,8,256,0.9070294784580498,1198.0,Low,0,1
Asus,1,3,1,7,15.598425196850393,0.05882352941176476,8,256,1.1337868480725624,1269.0,Low,1,0
HP,3,2,1,5,14.0,0.17647058823529402,8,256,0.6712018140589568,1611.0,Low,1,0
HP,3,2,1,5,15.598425196850393,0.23529411764705876,8,256,0.8344671201814059,1453.0,Low,1,0
Dell,3,3,1,5,15.598425196850393,0.7647058823529411,8,256,0.9070294784580498,1452.0,Low,1,0
Dell,4,2,1,7,13.299212598425196,0.6470588235294117,8,256,0.5442176870748299,2006.0,Medium,1,0
HP,3,2,1,7,15.598425196850393,0.11764705882352926,8,256,0.8344671201814059,1656.0,Medium,1,0
HP,5,3,1,7,15.598425196850393,0.05882352941176476,8,256,1.1791383219954648,2208.0,Medium,1,0
Dell,3,2,1,5,14.0,0.17647058823529402,8,256,0.6167800453514739,1813.0,Medium,1,0
Asus,3,2,1,5,14.0,0.23529411764705876,8,256,0.9070294784580498,1200.0,Low,1,0
Dell,3,1,1,7,15.598425196850393,0.11764705882352926,8,256,1.056689342403628,1142.0,Low,1,0
HP,4,2,1,7,14.0,0.11764705882352926,8,256,0.6167800453514739,2223.0,Medium,0,1
Lenovo,3,3,1,5,14.0,0.23529411764705876,8,256,0.6802721088435374,1396.0,Low,0,1
Lenovo,3,2,1,3,13.000000000000002,0.29411764705882354,4,128,0.6802721088435374,697.0,Low,0,1
Dell,5,3,1,7,15.0,0.11764705882352926,8,256,0.9070294784580498,2712.0,Medium,0,1
MSI,1,3,1,7,17.299212598425196,0.05882352941176476,8,256,1.2244897959183674,1714.0,Medium,1,0
Dell,3,1,2,7,15.598425196850393,0.11764705882352926,8,256,1.056689342403628,989.0,Low,1,0
Lenovo,3,1,1,7,15.0,0.6470588235294117,8,256,0.9523809523809524,1562.0,Low,0,1
Lenovo,3,2,1,5,14.0,0.23529411764705876,8,256,0.8616780045351473,1192.0,Low,0,1
Acer,3,3,2,7,15.598425196850393,0.05882352941176476,8,256,1.1337868480725624,1117.0,Low,1,0
Dell,3,1,2,5,15.598425196850393,0.23529411764705876,4,256,1.0430839002267573,761.0,Low,1,0
HP,4,2,1,7,14.0,0.23529411764705876,8,256,0.6485260770975056,1905.0,Medium,1,0
Lenovo,4,1,1,7,14.0,0.6470588235294117,8,256,0.7936507936507936,1544.0,Low,0,1
HP,3,2,1,7,15.598425196850393,0.0,8,256,1.0476190476190477,1813.0,Medium,1,0
Dell,4,2,2,7,14.0,0.05882352941176476,8,256,0.7256235827664399,1396.0,Low,1,0
Lenovo,3,2,1,7,13.000000000000002,0.11764705882352926,8,256,0.6349206349206349,1283.0,Low,0,1
Lenovo,3,2,1,3,14.0,0.11764705882352926,4,128,0.7709750566893424,761.0,Low,0,1
Asus,3,2,2,5,15.598425196850393,0.23529411764705876,4,256,0.9070294784580498,710.0,Low,1,0
Dell,3,1,1,5,15.598425196850393,0.7647058823529411,4,256,0.997732426303855,951.0,Low,1,0
Lenovo,4,2,1,5,12.0,0.23529411764705876,8,256,0.6167800453514739,1815.0,Medium,0,1
Dell,3,3,1,5,14.0,0.05882352941176476,8,256,0.7437641723356009,1498.0,Low,1,0
MSI,1,3,1,5,15.598425196850393,0.23529411764705876,8,256,0.997732426303855,1306.0,Low,1,0
Dell,5,3,1,7,15.0,0.11764705882352926,16,256,0.9841269841269841,2509.0,Medium,0,1
Lenovo,3,2,1,5,14.0,0.23529411764705876,8,256,0.7482993197278911,1709.0,Medium,1,0
Lenovo,3,3,1,7,15.598425196850393,0.0,8,256,1.2108843537414966,2655.0,Medium,1,0
Dell,4,2,1,5,15.598425196850393,0.7647058823529411,8,256,0.6439909297052153,2340.0,Medium,1,0
Dell,5,3,1,7,15.598425196850393,0.05882352941176476,8,256,0.8072562358276644,3059.0,High,1,0
Toshiba,3,2,1,5,13.000000000000002,0.23529411764705876,8,256,0.4761904761904762,2124.0,Medium,0,1
HP,3,2,1,5,13.000000000000002,0.7647058823529411,4,128,0.6757369614512472,922.0,Low,0,1
Lenovo,3,2,1,5,14.0,0.7647058823529411,8,256,0.7936507936507936,1333.0,Low,0,1
Lenovo,3,3,1,5,15.0,0.23529411764705876,8,256,1.0430839002267573,1286.0,Low,0,1
Lenovo,3,2,1,7,15.598425196850393,0.6470588235294117,8,256,0.9841269841269841,1142.0,Low,1,0
Lenovo,3,2,1,3,13.000000000000002,0.29411764705882354,8,256,0.6349206349206349,1206.0,Low,0,1
Lenovo,3,2,1,5,15.0,0.23529411764705876,8,256,1.0430839002267573,1157.0,Low,0,1
Lenovo,3,2,1,5,13.299212598425196,0.23529411764705876,8,256,0.6530612244897959,1206.0,Low,1,0
Dell,4,2,1,5,13.299212598425196,0.23529411764705876,8,128,0.5850340136054422,1142.0,Low,0,1
HP,3,3,1,5,15.598425196850393,0.23529411764705876,8,256,0.9251700680272109,1129.0,Low,1,0
HP,4,2,1,7,13.000000000000002,0.11764705882352926,8,256,0.5986394557823129,1777.0,Medium,0,1
Dell,3,2,1,5,14.0,0.17647058823529402,8,256,0.7437641723356009,1626.0,Medium,1,0
Lenovo,3,2,1,5,14.0,0.3529411764705883,8,256,0.9160997732426304,1702.0,Medium,1,0
Dell,3,2,1,5,15.598425196850393,0.05882352941176476,8,256,0.8616780045351473,1749.0,Medium,1,0
Dell,3,3,1,7,15.598425196850393,0.05882352941176476,8,256,0.8752834467120181,1739.0,Medium,1,0
Dell,3,1,1,5,15.598425196850393,0.7647058823529411,8,256,0.997732426303855,1013.0,Low,1,0
Lenovo,3,3,1,7,14.0,0.11764705882352926,8,256,0.8480725623582767,1091.0,Low,0,1
Dell,3,2,1,3,14.0,0.5294117647058824,4,128,0.7256235827664399,935.0,Low,1,0
HP,3,2,1,3,15.598425196850393,0.29411764705882354,4,128,0.9523809523809524,896.0,Low,1,0
Lenovo,3,2,1,3,15.598425196850393,0.5294117647058824,4,128,0.997732426303855,634.0,Low,1,0
Dell,3,2,1,5,15.598425196850393,0.23529411764705876,8,256,0.8616780045351473,1419.0,Low,1,0
Lenovo,3,2,1,3,15.598425196850393,0.11764705882352926,4,128,0.929705215419501,800.0,Low,1,0
Lenovo,3,3,1,7,17.0,0.05882352941176476,8,256,1.5419501133786848,3810.0,High,0,1
Lenovo,3,2,1,5,15.598425196850393,0.23529411764705876,8,256,1.0430839002267573,1054.0,Low,1,0
Dell,3,1,2,7,15.598425196850393,0.11764705882352926,8,256,0.997732426303855,951.0,Low,1,0
HP,3,2,1,3,13.299212598425196,0.29411764705882354,4,128,0.6757369614512472,913.0,Low,1,0
Dell,3,3,1,7,15.598425196850393,0.05882352941176476,16,256,0.8752834467120181,1953.0,Medium,1,0
Lenovo,4,2,1,7,14.0,0.17647058823529402,12,256,0.6349206349206349,2125.0,Medium,0,1
Lenovo,3,2,1,5,14.0,0.23529411764705876,8,256,0.7709750566893424,1872.0,Medium,0,1
Dell,5,3,1,7,15.598425196850393,0.05882352941176476,8,256,0.9342403628117913,2240.0,Medium,1,0
HP,3,2,1,7,15.598425196850393,0.11764705882352926,8,256,0.8344671201814059,1548.0,Low,1,0
Toshiba,3,2,1,7,15.0,0.23529411764705876,8,256,0.997732426303855,1777.0,Medium,0,1
Dell,3,1,2,5,15.598425196850393,0.23529411764705876,4,128,0.9886621315192744,723.0,Low,1,0
Lenovo,3,2,1,5,14.0,0.3529411764705883,8,256,0.7482993197278911,1861.0,Medium,1,0
Dell,3,3,1,7,15.598425196850393,0.05882352941176476,8,256,0.9070294784580498,2312.0,Medium,1,0
Lenovo,3,2,1,5,15.598425196850393,0.7647058823529411,4,256,0.8163265306122449,1053.0,Low,1,0
Acer,4,2,1,5,14.0,0.23529411764705876,8,256,0.8163265306122449,1167.0,Low,0,1
Razer,1,3,1,7,14.0,0.05882352941176476,16,256,0.8843537414965986,3301.0,High,1,0
Toshiba,3,2,1,5,13.299212598425196,0.3529411764705883,8,256,0.5442176870748299,1541.0,Low,1,0
Lenovo,4,2,1,7,12.0,0.11764705882352926,8,256,0.6167800453514739,2012.0,Medium,0,1
Dell,4,2,1,5,13.299212598425196,0.7647058823529411,8,256,0.5442176870748299,1842.0,Medium,1,0
Dell,3,1,1,7,15.598425196850393,0.6470588235294117,8,256,0.997732426303855,1167.0,Low,1,0
Dell,3,2,1,5,14.0,0.29411764705882354,8,256,0.7074829931972789,1561.0,Low,1,0
Toshiba,3,2,1,5,15.0,0.23529411764705876,8,256,0.9070294784580498,1598.0,Low,0,1
Asus,4,2,1,5,14.0,0.23529411764705876,8,256,0.4988662131519275,1442.0,Low,1,0
Acer,1,3,1,5,15.598425196850393,0.23529411764705876,16,256,1.1337868480725624,1650.0,Medium,1,0
MSI,1,3,1,5,15.598425196850393,0.23529411764705876,8,256,0.997732426303855,1268.0,Low,1,0
HP,3,1,1,3,17.0,0.5294117647058824,4,256,1.1337868480725624,888.0,Low,0,1
Lenovo,3,2,1,5,14.0,0.23529411764705876,4,256,0.7709750566893424,888.0,Low,1,0
Toshiba,3,2,1,5,13.000000000000002,0.23529411764705876,8,256,0.6802721088435374,1236.0,Low,0,1
Dell,3,2,1,5,15.598425196850393,0.23529411764705876,8,256,0.9886621315192744,1010.0,Low,1,0
Lenovo,3,2,1,5,14.0,0.3529411764705883,8,256,0.8163265306122449,1513.0,Low,1,0
Dell,3,3,2,5,14.0,0.05882352941176476,8,256,0.7437641723356009,1383.0,Low,1,0
Lenovo,3,3,1,5,14.0,0.23529411764705876,8,256,0.8480725623582767,1089.0,Low,0,1
Dell,3,2,1,5,15.598425196850393,0.17647058823529402,8,256,0.8616780045351473,1498.0,Low,1,0
HP,3,3,1,7,17.299212598425196,0.11764705882352926,8,256,1.1927437641723355,1524.0,Low,1,0
Lenovo,4,2,1,5,14.0,0.23529411764705876,8,256,0.5986394557823129,1904.0,Medium,0,1
Lenovo,3,2,1,5,13.000000000000002,0.23529411764705876,8,256,0.6530612244897959,1219.0,Low,0,1
HP,5,3,1,7,15.598425196850393,0.05882352941176476,16,256,1.1791383219954648,3073.0,High,1,0
Toshiba,3,2,1,5,14.0,0.23529411764705876,8,256,0.5668934240362812,1950.0,Medium,0,1
Samsung,4,2,1,7,13.299212598425196,0.11764705882352926,16,256,0.3673469387755102,2095.0,Medium,1,0
HP,3,2,1,3,15.598425196850393,0.5294117647058824,8,256,0.8435374149659864,685.0,Low,1,0
HP,3,2,1,5,15.598425196850393,0.29411764705882354,8,256,0.8344671201814059,2414.0,Medium,1,0
HP,5,3,1,7,15.598425196850393,0.17647058823529402,8,256,1.1746031746031744,1983.0,Medium,1,0
Dell,4,2,1,7,12.5,0.05882352941176476,16,256,0.5351473922902494,2361.0,Medium,1,0
Samsung,4,2,1,7,15.598425196850393,0.11764705882352926,8,256,0.5941043083900227,2031.0,Medium,1,0
Dell,3,1,1,7,15.598425196850393,0.11764705882352926,16,256,1.0430839002267573,1501.0,Low,1,0
Acer,3,2,1,3,14.0,0.29411764705882354,4,128,0.8163265306122449,808.0,Low,0,1
Dell,1,3,1,5,15.598425196850393,0.23529411764705876,8,256,1.1882086167800454,1251.0,Low,1,0
Dell,3,1,1,3,15.598425196850393,0.5294117647058824,8,256,0.9070294784580498,939.0,Low,1,0
HP,5,3,1,7,15.598425196850393,0.05882352941176476,8,256,1.4240362811791383,2623.0,Medium,1,0
Asus,3,2,1,5,15.598425196850393,0.23529411764705876,8,256,1.0748299319727892,1396.0,Low,1,0
Dell,4,2,1,5,13.299212598425196,0.23529411764705876,8,256,0.5850340136054422,1904.0,Medium,1,0
Samsung,4,2,1,5,13.299212598425196,0.23529411764705876,8,256,0.3673469387755102,1904.0,Medium,1,0
Dell,3,1,1,5,15.598425196850393,0.23529411764705876,8,256,0.9886621315192744,1003.0,Low,1,0
Lenovo,4,2,1,7,14.0,0.11764705882352926,8,256,0.5986394557823129,2361.0,Medium,1,0
MSI,1,3,1,5,15.598425196850393,0.23529411764705876,8,256,1.0884353741496597,1523.0,Low,1,0
Acer,3,2,1,3,14.0,0.29411764705882354,8,128,0.6802721088435374,786.0,Low,0,1
Lenovo,3,2,1,5,14.0,0.3529411764705883,8,256,0.7709750566893424,1507.0,Low,1,0
Lenovo,3,2,1,5,14.0,0.17647058823529402,8,256,0.5986394557823129,2096.0,Medium,0,1
Dell,3,1,1,7,15.598425196850393,0.11764705882352926,4,256,0.9886621315192744,939.0,Low,1,0
Lenovo,4,3,1,7,14.0,0.05882352941176476,8,256,0.8888888888888888,2417.0,Medium,0,1
Asus,3,3,1,7,15.0,0.11764705882352926,8,256,1.0430839002267573,1000.0,Low,0,1
Dell,3,2,1,5,15.598425196850393,0.23529411764705876,8,128,0.8616780045351473,1200.0,Low,1,0
HP,3,1,1,5,15.598425196850393,0.17647058823529402,8,256,0.8344671201814059,1714.0,Medium,1,0
Toshiba,3,2,1,5,13.299212598425196,0.23529411764705876,4,128,0.4761904761904762,1632.0,Medium,1,0
Acer,3,2,1,5,14.0,0.23529411764705876,8,256,0.7074829931972789,1146.0,Low,0,1
Toshiba,3,2,1,7,15.0,0.11764705882352926,8,256,0.9070294784580498,1763.0,Medium,0,1
Samsung,4,3,1,7,15.0,0.11764705882352926,16,256,0.5578231292517006,2349.0,Medium,1,0
Dell,4,2,1,7,12.5,0.05882352941176476,8,256,0.7256235827664399,2147.0,Medium,1,0
Xiaomi,4,3,1,5,13.000000000000002,0.3529411764705883,8,256,0.5804988662131519,1188.0,Low,0,1
HP,3,2,1,5,15.598425196850393,0.23529411764705876,4,256,0.9251700680272109,1066.0,Low,1,0
HP,3,2,1,5,14.0,0.23529411764705876,4,128,0.8843537414965986,1607.0,Low,1,0
Samsung,4,2,1,7,15.0,0.11764705882352926,8,256,0.5306122448979591,2158.0,Medium,1,0
Lenovo,4,2,1,5,14.0,0.23529411764705876,8,256,0.5986394557823129,2285.0,Medium,0,1
Toshiba,3,2,1,5,13.299212598425196,0.23529411764705876,8,256,0.4761904761904762,1874.0,Medium,1,0
Dell,3,2,1,5,14.0,0.05882352941176476,8,256,0.7256235827664399,1531.0,Low,1,0
Lenovo,3,3,1,7,15.598425196850393,0.11764705882352926,6,256,0.997732426303855,1002.0,Low,1,0
HP,3,3,1,7,15.598425196850393,0.11764705882352926,8,256,0.9251700680272109,1294.0,Low,1,0
Lenovo,3,2,1,5,13.299212598425196,0.23529411764705876,4,128,0.6530612244897959,1119.0,Low,1,0
HP,3,2,1,5,13.299212598425196,0.23529411764705876,8,256,0.6757369614512472,1219.0,Low,1,0
HP,4,1,1,7,15.598425196850393,0.23529411764705876,8,256,0.8344671201814059,1648.0,Medium,1,0
Toshiba,3,3,1,7,15.0,0.17647058823529402,16,256,1.0884353741496597,2509.0,Medium,0,1
Lenovo,4,2,1,7,12.0,0.11764705882352926,8,256,0.6167800453514739,2096.0,Medium,0,1
HP,3,2,1,5,15.598425196850393,0.3529411764705883,8,256,1.0476190476190477,1480.0,Low,1,0
Toshiba,3,2,1,5,14.0,0.3529411764705883,4,128,0.6666666666666666,1404.0,Low,0,1
HP,2,2,1,5,12.5,0.3529411764705883,8,256,0.5714285714285714,2120.0,Medium,1,0
Dell,4,2,1,5,14.0,0.23529411764705876,8,256,0.6167800453514739,2082.0,Medium,1,0
Dell,4,2,1,5,15.598425196850393,0.23529411764705876,8,256,0.6167800453514739,1870.0,Medium,1,0
Dell,4,2,1,7,14.0,0.05882352941176476,8,256,0.6167800453514739,2255.0,Medium,1,0
Toshiba,3,2,1,5,13.299212598425196,0.3529411764705883,8,256,0.5442176870748299,1855.0,Medium,1,0
Lenovo,4,2,1,7,14.0,0.17647058823529402,8,256,0.7709750566893424,1891.0,Medium,0,1
Toshiba,3,2,1,5,13.299212598425196,0.29411764705882354,8,256,0.5442176870748299,1950.0,Medium,1,0
Lenovo,4,2,1,5,12.0,0.17647058823529402,8,256,0.6167800453514739,2236.0,Medium,0,1
Lenovo,3,3,1,5,15.598425196850393,0.23529411764705876,6,256,1.0884353741496597,883.0,Low,1,0
Toshiba,3,2,1,5,14.0,0.3529411764705883,8,256,0.8843537414965986,1499.0,Low,1,0
