,enginesize,curbweight,horsepower,carwidth,highwaympg,citympg,carlength,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,cylindernumber,fuelsystem
4,136,2824,115,66.4,22,18,176.6,gas,std,four,sedan,4wd,front,ohc,five,mpfi
71,234,3740,155,71.7,18,16,202.6,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi
134,121,2707,110,66.5,28,21,186.6,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
145,108,2510,111,65.4,29,24,172.0,gas,turbo,four,sedan,4wd,front,ohcf,four,mpfi
122,98,2191,68,63.8,38,31,167.3,gas,std,four,sedan,fwd,front,ohc,four,2bbl
26,90,1989,68,63.8,38,31,157.3,gas,std,four,sedan,fwd,front,ohc,four,2bbl
83,156,2921,145,66.3,24,19,173.2,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
149,108,2650,111,65.4,23,23,173.6,gas,turbo,four,wagon,4wd,front,ohcf,four,mpfi
186,109,2275,85,65.5,34,27,171.7,gas,std,four,sedan,fwd,front,ohc,four,mpfi
8,131,3086,140,71.4,20,17,192.7,gas,turbo,four,sedan,fwd,front,ohc,five,mpfi
90,103,2017,55,63.8,50,45,165.3,diesel,std,two,sedan,fwd,front,ohc,four,idi
163,98,2169,70,64.0,34,29,168.7,gas,std,two,sedan,rwd,front,ohc,four,2bbl
61,122,2385,84,66.5,32,26,177.8,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
75,140,2910,175,68.0,24,19,178.4,gas,turbo,two,hatchback,rwd,front,ohc,four,mpfi
106,181,3139,160,67.9,25,19,178.5,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi
63,122,2443,64,66.5,42,36,177.8,diesel,std,four,sedan,fwd,front,ohc,four,idi
198,130,3045,162,67.2,22,17,188.8,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
143,108,2340,94,65.4,32,26,172.0,gas,std,four,sedan,fwd,front,ohcf,four,mpfi
24,90,1967,68,63.8,38,31,157.3,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
30,92,1713,58,63.9,54,49,144.6,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
135,121,2758,110,66.5,28,21,186.6,gas,std,four,sedan,fwd,front,ohc,four,mpfi
40,110,2372,86,62.5,33,27,175.4,gas,std,four,sedan,fwd,front,ohc,four,1bbl
60,122,2410,84,66.5,32,26,177.8,gas,std,four,sedan,fwd,front,ohc,four,2bbl
56,70,2380,101,65.7,23,17,169.0,gas,std,two,hatchback,rwd,front,rotor,two,4bbl
101,181,3095,152,66.5,22,17,181.7,gas,std,four,sedan,fwd,front,ohcv,six,mpfi
86,122,2405,88,65.4,32,25,172.4,gas,std,four,sedan,fwd,front,ohc,four,2bbl
19,90,1874,70,63.6,43,38,155.9,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
155,92,3110,62,63.6,32,27,169.7,gas,std,four,wagon,4wd,front,ohc,four,2bbl
97,97,2037,69,63.8,37,31,170.2,gas,std,four,wagon,fwd,front,ohc,four,2bbl
54,91,1950,68,64.2,38,31,166.8,gas,std,four,sedan,fwd,front,ohc,four,2bbl
184,97,2264,52,65.5,46,37,171.7,diesel,std,four,sedan,fwd,front,ohc,four,idi
51,91,1900,68,64.2,38,31,159.1,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
139,108,2120,73,63.6,31,26,157.9,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl
141,108,2145,82,65.4,37,32,172.0,gas,std,four,sedan,fwd,front,ohcf,four,2bbl
112,152,3252,95,68.4,33,28,186.7,diesel,turbo,four,sedan,rwd,front,l,four,idi
96,97,1971,69,63.8,37,31,165.3,gas,std,four,sedan,fwd,front,ohc,four,2bbl
107,120,3020,97,68.4,24,19,186.7,gas,std,four,sedan,rwd,front,l,four,mpfi
146,108,2290,82,65.4,32,28,173.5,gas,std,four,wagon,fwd,front,ohcf,four,2bbl
110,152,3430,95,68.4,25,25,198.9,diesel,turbo,four,wagon,rwd,front,l,four,idi
178,171,2976,161,67.7,24,20,183.5,gas,std,two,hatchback,rwd,front,dohc,six,mpfi
14,164,3055,121,66.9,25,20,189.0,gas,std,four,sedan,rwd,front,ohc,six,mpfi
27,98,2191,102,63.8,30,24,157.3,gas,turbo,two,sedan,fwd,front,ohc,four,mpfi
108,152,3197,95,68.4,33,28,186.7,diesel,turbo,four,sedan,rwd,front,l,four,idi
185,109,2212,85,65.5,34,27,171.7,gas,std,four,sedan,fwd,front,ohc,four,mpfi
126,194,2756,207,65.0,25,17,168.9,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi
46,119,2734,90,65.2,29,24,172.6,gas,std,two,hatchback,rwd,front,ohc,four,spfi
191,136,2661,110,66.9,24,19,180.2,gas,std,four,sedan,fwd,front,ohc,five,mpfi
200,141,2952,114,68.9,28,23,188.8,gas,std,four,sedan,rwd,front,ohc,four,mpfi
162,98,2140,70,64.4,34,28,166.3,gas,std,four,sedan,fwd,front,ohc,four,2bbl
62,122,2410,84,66.5,32,26,177.8,gas,std,four,sedan,fwd,front,ohc,four,2bbl
2,152,2823,154,65.5,26,19,171.2,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi
59,122,2385,84,66.5,32,26,177.8,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
123,122,2535,88,64.6,30,24,174.6,gas,std,four,wagon,fwd,front,ohc,four,2bbl
124,156,2818,145,66.3,24,19,173.2,gas,turbo,two,hatchback,rwd,front,ohc,four,spdi
43,111,2337,78,61.8,29,24,170.7,gas,std,four,sedan,rwd,front,ohc,four,2bbl
10,108,2395,101,64.8,29,23,176.8,gas,std,two,sedan,rwd,front,ohc,four,mpfi
109,120,3230,97,68.4,24,19,198.9,gas,std,four,wagon,rwd,front,l,four,mpfi
73,308,3900,184,71.7,16,14,208.1,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi
196,141,2935,114,67.2,28,24,188.8,gas,std,four,sedan,rwd,front,ohc,four,mpfi
182,97,2261,52,65.5,46,37,171.7,diesel,std,two,sedan,fwd,front,ohc,four,idi
150,92,1985,62,63.6,39,35,158.7,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
98,97,2008,69,63.8,37,31,162.4,gas,std,two,hardtop,fwd,front,ohc,four,2bbl
3,109,2337,102,66.2,30,24,176.6,gas,std,four,sedan,fwd,front,ohc,four,mpfi
93,97,2024,69,63.8,37,31,170.2,gas,std,four,wagon,fwd,front,ohc,four,2bbl
118,90,1918,68,63.8,41,37,157.3,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
160,98,2094,70,64.4,47,38,166.3,gas,std,four,sedan,fwd,front,ohc,four,2bbl
199,130,3157,162,67.2,22,17,188.8,gas,turbo,four,wagon,rwd,front,ohc,four,mpfi
50,91,1890,68,64.2,31,30,159.1,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
0,130,2548,111,64.1,27,21,168.8,gas,std,two,convertible,rwd,front,dohc,four,mpfi
94,97,1951,69,63.8,37,31,165.3,gas,std,two,sedan,fwd,front,ohc,four,2bbl
116,152,3252,95,68.4,33,28,186.7,diesel,turbo,four,sedan,rwd,front,l,four,idi
95,97,2028,69,63.8,37,31,165.6,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
64,122,2425,84,66.5,32,26,177.8,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
144,108,2385,82,65.4,25,24,172.0,gas,std,four,sedan,4wd,front,ohcf,four,2bbl
41,110,2465,101,65.2,28,24,175.4,gas,std,four,sedan,fwd,front,ohc,four,mpfi
69,183,3495,123,70.3,25,22,187.5,diesel,turbo,two,hardtop,rwd,front,ohc,five,idi
49,326,3950,262,70.6,17,13,191.7,gas,std,two,sedan,rwd,front,ohcv,twelve,mpfi
48,258,4066,176,69.6,19,15,199.6,gas,std,four,sedan,rwd,front,dohc,six,mpfi
85,122,2365,88,65.4,32,25,172.4,gas,std,four,sedan,fwd,front,ohc,four,2bbl
202,173,3012,134,68.9,23,18,188.8,gas,std,four,sedan,rwd,front,ohcv,six,mpfi
13,164,2765,121,64.8,28,21,176.8,gas,std,four,sedan,rwd,front,ohc,six,mpfi
153,92,2280,62,63.6,37,31,169.7,gas,std,four,wagon,fwd,front,ohc,four,2bbl
23,98,2128,102,63.8,30,24,157.3,gas,turbo,two,hatchback,fwd,front,ohc,four,mpfi
190,109,2221,90,64.0,29,24,165.7,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
137,121,2847,160,66.5,26,19,186.6,gas,turbo,four,sedan,fwd,front,dohc,four,mpfi
20,90,1909,70,63.6,43,38,158.8,gas,std,four,sedan,fwd,front,ohc,four,2bbl
15,209,3230,182,66.9,22,16,189.0,gas,std,four,sedan,rwd,front,ohc,six,mpfi
78,92,2004,68,64.4,38,31,157.3,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
100,120,2302,97,65.2,34,27,173.4,gas,std,four,sedan,fwd,front,ohc,four,2bbl
166,98,2300,112,64.0,29,26,168.7,gas,std,two,hatchback,rwd,front,dohc,four,mpfi
203,145,3217,106,68.9,27,26,188.8,diesel,turbo,four,sedan,rwd,front,ohc,six,idi
6,136,2844,110,71.4,25,19,192.7,gas,std,four,sedan,fwd,front,ohc,five,mpfi
68,183,3750,123,70.3,25,22,190.9,diesel,turbo,four,wagon,rwd,front,ohc,five,idi
84,156,2926,145,66.3,24,19,173.2,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
121,90,1989,68,63.8,38,31,167.3,gas,std,four,sedan,fwd,front,ohc,four,2bbl
157,98,2109,70,64.4,37,30,166.3,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
187,97,2319,68,65.5,42,37,171.7,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
158,110,2275,56,64.4,36,34,166.3,diesel,std,four,sedan,fwd,front,ohc,four,idi
91,97,1918,69,63.8,37,31,165.3,gas,std,two,sedan,fwd,front,ohc,four,2bbl
176,122,2414,92,66.5,32,27,175.6,gas,std,four,sedan,fwd,front,ohc,four,mpfi
11,108,2395,101,64.8,29,23,176.8,gas,std,four,sedan,rwd,front,ohc,four,mpfi
119,98,2128,102,63.8,30,24,157.3,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
102,181,3296,152,66.5,22,17,184.6,gas,std,four,wagon,fwd,front,ohcv,six,mpfi
35,92,2010,76,64.0,34,30,163.4,gas,std,four,sedan,fwd,front,ohc,four,1bbl
57,70,2385,101,65.7,23,17,169.0,gas,std,two,hatchback,rwd,front,rotor,two,4bbl
65,140,2670,120,66.1,27,19,175.0,gas,std,four,sedan,rwd,front,ohc,four,mpfi
1,130,2548,111,64.1,27,21,168.8,gas,std,two,convertible,rwd,front,dohc,four,mpfi
120,90,1967,68,63.8,38,31,157.3,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
164,98,2204,70,64.0,34,29,168.7,gas,std,two,hatchback,rwd,front,ohc,four,2bbl
42,110,2293,100,66.0,31,25,169.1,gas,std,two,sedan,fwd,front,ohc,four,2bbl
105,181,3139,200,67.9,23,17,170.7,gas,turbo,two,hatchback,rwd,front,ohcv,six,mpfi
132,121,2658,110,66.5,28,21,186.6,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
177,122,2458,92,66.5,32,27,175.6,gas,std,four,hatchback,fwd,front,ohc,four,mpfi
17,209,3505,182,70.9,20,15,197.0,gas,std,four,sedan,rwd,front,ohc,six,mpfi
38,110,2289,86,65.2,33,27,167.5,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
133,121,2695,110,66.5,28,21,186.6,gas,std,four,sedan,fwd,front,ohc,four,mpfi
53,91,1945,68,64.2,38,31,166.8,gas,std,four,sedan,fwd,front,ohc,four,2bbl
159,110,2275,56,64.4,47,38,166.3,diesel,std,four,hatchback,fwd,front,ohc,four,idi
128,194,2800,207,65.0,25,17,168.9,gas,std,two,convertible,rwd,rear,ohcf,six,mpfi
34,92,1956,76,64.0,34,30,150.0,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
28,122,2535,88,64.6,30,24,174.6,gas,std,four,wagon,fwd,front,ohc,four,2bbl
114,152,3485,95,68.4,25,25,198.9,diesel,turbo,four,wagon,rwd,front,l,four,idi
151,92,2040,62,63.6,38,31,158.7,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
31,92,1819,76,63.9,38,31,144.6,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
168,146,2536,116,65.6,30,24,176.2,gas,std,two,hardtop,rwd,front,ohc,four,mpfi
127,194,2756,207,65.0,25,17,168.9,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi
180,171,3131,156,66.5,24,20,187.8,gas,std,four,sedan,rwd,front,dohc,six,mpfi
32,79,1837,60,64.0,42,38,150.0,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
167,146,2540,116,65.6,30,24,176.2,gas,std,two,hardtop,rwd,front,ohc,four,mpfi
142,108,2190,82,65.4,33,28,172.0,gas,std,four,sedan,fwd,front,ohcf,four,2bbl
204,141,3062,114,68.9,25,19,188.8,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
147,108,2455,94,65.4,31,25,173.5,gas,std,four,wagon,fwd,front,ohcf,four,mpfi
29,156,2811,145,66.3,24,19,173.2,gas,turbo,two,hatchback,fwd,front,ohc,four,mfi
99,120,2324,97,65.2,34,27,173.4,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
82,156,2833,145,66.3,24,19,173.2,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
175,122,2414,92,66.5,32,27,175.6,gas,std,four,hatchback,fwd,front,ohc,four,mpfi
79,98,2145,102,63.8,30,24,157.3,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
115,120,3075,97,68.4,24,19,186.7,gas,std,four,sedan,rwd,front,l,four,mpfi
148,108,2420,82,65.4,29,23,173.6,gas,std,four,wagon,4wd,front,ohcf,four,2bbl
197,141,3042,114,67.2,28,24,188.8,gas,std,four,wagon,rwd,front,ohc,four,mpfi
72,234,3685,155,70.5,18,16,180.3,gas,std,two,convertible,rwd,front,ohcv,eight,mpfi
77,92,1944,68,64.4,38,31,157.3,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
25,90,1989,68,63.8,38,31,157.3,gas,std,four,sedan,fwd,front,ohc,four,2bbl
165,98,2265,112,64.0,29,26,168.7,gas,std,two,sedan,rwd,front,dohc,four,mpfi
81,122,2328,88,65.4,32,25,173.0,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
201,141,3049,160,68.8,25,19,188.8,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
174,110,2480,73,66.5,33,30,175.6,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
194,141,2912,114,67.2,28,23,188.8,gas,std,four,sedan,rwd,front,ohc,four,mpfi
39,110,2304,86,65.2,33,27,175.4,gas,std,four,sedan,fwd,front,ohc,four,1bbl
58,80,2500,135,65.7,23,16,169.0,gas,std,two,hatchback,rwd,front,rotor,two,mpfi
140,108,2240,73,63.8,31,26,157.3,gas,std,two,hatchback,4wd,front,ohcf,four,2bbl
88,110,2403,116,65.4,30,23,172.4,gas,std,four,sedan,fwd,front,ohc,four,spdi
70,183,3770,123,71.7,25,22,202.6,diesel,turbo,four,sedan,rwd,front,ohc,five,idi
87,110,2403,116,65.4,30,23,172.4,gas,turbo,four,sedan,fwd,front,ohc,four,spdi
36,92,2024,76,63.9,34,30,157.1,gas,std,four,wagon,fwd,front,ohc,four,1bbl
21,90,1876,68,63.8,41,37,157.3,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
9,131,3053,160,67.9,22,16,178.2,gas,turbo,two,hatchback,4wd,front,ohc,five,mpfi
103,181,3060,152,66.5,25,19,184.6,gas,std,four,sedan,fwd,front,ohcv,six,mpfi
195,141,3034,114,67.2,28,23,188.8,gas,std,four,wagon,rwd,front,ohc,four,mpfi
67,183,3515,123,70.3,25,22,190.9,diesel,turbo,four,sedan,rwd,front,ohc,five,idi
192,97,2579,68,66.9,38,33,180.2,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
117,134,3130,142,68.3,24,18,186.7,gas,turbo,four,sedan,rwd,front,l,four,mpfi
47,258,4066,176,69.6,19,15,199.6,gas,std,four,sedan,rwd,front,dohc,six,mpfi
172,146,2975,116,65.6,30,24,176.2,gas,std,two,convertible,rwd,front,ohc,four,mpfi
